date,users
1/1/13,0
1/2/13,1
1/3/13,4
1/4/13,5
1/5/13,2
1/6/13,2
1/7/13,5
1/8/13,2
1/9/13,1
1/10/13,8
1/11/13,2
1/12/13,2
1/13/13,4
1/14/13,4
1/15/13,5
1/16/13,2
1/17/13,3
1/18/13,2
1/19/13,3
1/20/13,2
1/21/13,3
1/22/13,2
1/23/13,4
1/24/13,2
1/25/13,3
1/26/13,1
1/27/13,2
1/28/13,1
1/29/13,3
1/30/13,3
1/31/13,1
2/1/13,6
2/2/13,1
2/3/13,4
2/4/13,5
2/5/13,3
2/6/13,7
2/7/13,6
2/8/13,3
2/9/13,0
2/10/13,1
2/11/13,3
2/12/13,3
2/13/13,1
2/14/13,8
2/15/13,3
2/16/13,1
2/17/13,4
2/18/13,4
2/19/13,6
2/20/13,4
2/21/13,4
2/22/13,7
2/23/13,4
2/24/13,2
2/25/13,5
2/26/13,2
2/27/13,6
2/28/13,10
3/1/13,10
3/2/13,3
3/3/13,4
3/4/13,9
3/5/13,8
3/6/13,10
3/7/13,9
3/8/13,6
3/9/13,7
3/10/13,7
3/11/13,15
3/12/13,10
3/13/13,14
3/14/13,11
3/15/13,10
3/16/13,2
3/17/13,6
3/18/13,16
3/19/13,17
3/20/13,20
3/21/13,14
3/22/13,17
3/23/13,3
3/24/13,5
3/25/13,21
3/26/13,30
3/27/13,23
3/28/13,13
3/29/13,12
3/30/13,10
3/31/13,5
4/1/13,18
4/2/13,26
4/3/13,36
4/4/13,52
4/5/13,50
4/6/13,16
4/7/13,10
4/8/13,23
4/9/13,14
4/10/13,23
4/11/13,40
4/12/13,192
4/13/13,18
4/14/13,14
4/15/13,26
4/16/13,21
4/17/13,18
4/18/13,22
4/19/13,28
4/20/13,15
4/21/13,3
4/22/13,20
4/23/13,20
4/24/13,18
4/25/13,24
4/26/13,18
4/27/13,5
4/28/13,8
4/29/13,15
4/30/13,18
5/1/13,12
5/2/13,10
5/3/13,10
5/4/13,9
5/5/13,10
5/6/13,18
5/7/13,18
5/8/13,18
5/9/13,21
5/10/13,25
5/11/13,9
5/12/13,5
5/13/13,12
5/14/13,23
5/15/13,18
5/16/13,27
5/17/13,16
5/18/13,4
5/19/13,7
5/20/13,11
5/21/13,19
5/22/13,16
5/23/13,23
5/24/13,13
5/25/13,13
5/26/13,8
5/27/13,25
5/28/13,19
5/29/13,20
5/30/13,21
5/31/13,21
6/1/13,9
6/2/13,8
6/3/13,28
6/4/13,20
6/5/13,15
6/6/13,13
6/7/13,16
6/8/13,8
6/9/13,9
6/10/13,22
6/11/13,23
6/12/13,15
6/13/13,20
6/14/13,24
6/15/13,7
6/16/13,7
6/17/13,20
6/18/13,14
6/19/13,17
6/20/13,22
6/21/13,24
6/22/13,8
6/23/13,7
6/24/13,28
6/25/13,24
6/26/13,20
6/27/13,38
6/28/13,20
6/29/13,10
6/30/13,4
7/1/13,26
7/2/13,19
7/3/13,28
7/4/13,10
7/5/13,23
7/6/13,10
