date,users
1/1/13,0
1/2/13,1
1/3/13,4
1/4/13,4
1/5/13,2
1/6/13,2
1/7/13,4
1/8/13,2
1/9/13,1
1/10/13,6
1/11/13,1
1/12/13,2
1/13/13,1
1/14/13,4
1/15/13,2
1/16/13,1
1/17/13,1
1/18/13,2
1/19/13,3
1/20/13,1
1/21/13,2
1/22/13,2
1/23/13,2
1/24/13,1
1/25/13,2
1/26/13,1
1/27/13,1
1/28/13,0
1/29/13,3
1/30/13,3
1/31/13,0
2/1/13,4
2/2/13,0
2/3/13,3
2/4/13,4
2/5/13,3
2/6/13,5
2/7/13,4
2/8/13,3
2/9/13,0
2/10/13,1
2/11/13,1
2/12/13,2
2/13/13,1
2/14/13,4
2/15/13,3
2/16/13,0
2/17/13,0
2/18/13,3
2/19/13,4
2/20/13,3
2/21/13,0
2/22/13,3
2/23/13,3
2/24/13,0
2/25/13,4
2/26/13,2
2/27/13,4
2/28/13,4
3/1/13,7
3/2/13,3
3/3/13,2
3/4/13,6
3/5/13,5
3/6/13,8
3/7/13,5
3/8/13,4
3/9/13,5
3/10/13,5
3/11/13,10
3/12/13,6
3/13/13,8
3/14/13,9
3/15/13,8
3/16/13,1
3/17/13,5
3/18/13,14
3/19/13,11
3/20/13,13
3/21/13,13
3/22/13,15
3/23/13,2
3/24/13,5
3/25/13,14
3/26/13,17
3/27/13,18
3/28/13,12
3/29/13,8
3/30/13,9
3/31/13,2
4/1/13,13
4/2/13,15
4/3/13,19
4/4/13,17
4/5/13,9
4/6/13,3
4/7/13,3
4/8/13,14
4/9/13,9
4/10/13,16
4/11/13,22
4/12/13,12
4/13/13,3
4/14/13,3
4/15/13,17
4/16/13,17
4/17/13,13
4/18/13,14
4/19/13,14
4/20/13,5
4/21/13,1
4/22/13,16
4/23/13,13
4/24/13,12
4/25/13,16
4/26/13,15
4/27/13,2
4/28/13,8
4/29/13,12
4/30/13,15
5/1/13,11
5/2/13,5
5/3/13,6
5/4/13,7
5/5/13,8
5/6/13,16
5/7/13,14
5/8/13,13
5/9/13,13
5/10/13,19
5/11/13,8
5/12/13,4
5/13/13,11
5/14/13,21
5/15/13,15
5/16/13,25
5/17/13,13
5/18/13,2
5/19/13,5
5/20/13,10
5/21/13,14
5/22/13,14
5/23/13,20
5/24/13,11
5/25/13,8
5/26/13,7
5/27/13,17
5/28/13,18
5/29/13,19
5/30/13,21
5/31/13,14
6/1/13,7
6/2/13,5
6/3/13,20
6/4/13,18
6/5/13,12
6/6/13,12
6/7/13,13
6/8/13,7
6/9/13,8
6/10/13,16
6/11/13,20
6/12/13,13
6/13/13,13
6/14/13,19
6/15/13,6
6/16/13,4
6/17/13,17
6/18/13,9
6/19/13,16
6/20/13,21
6/21/13,21
6/22/13,4
6/23/13,5
6/24/13,22
6/25/13,19
6/26/13,11
6/27/13,29
6/28/13,11
6/29/13,6
6/30/13,4
7/1/13,23
7/2/13,15
7/3/13,23
7/4/13,7
7/5/13,15
7/6/13,6
